Joints
100
,,Tuto_joint:Head_Head_End,Tuto_joint:L_Collar_L_Humerus,,,Tuto_joint:L_Elbow_L_Wrist,Tuto_joint:L_Femur_L_Tibia,Tuto_joint:L_Foot_L_Toe,Tuto_joint:L_Humerus_L_Elbow,,Tuto_joint:L_Tibia_L_Foot,,,Tuto_joint:L_Wrist_L_Wrist_End,Tuto_joint:LowerBack_Head,,,Tuto_joint:LowerBack_L_Collar,,,Tuto_joint:LowerBack_R_Collar,,,Tuto_joint:R_Collar_R_Humerus,,,Tuto_joint:R_Elbow_R_Wrist,Tuto_joint:R_Femur_R_Tibia,Tuto_joint:R_Foot_R_Toe,Tuto_joint:R_Humerus_R_Elbow,,Tuto_joint:R_Tibia_R_Foot,,,Tuto_joint:R_Wrist_R_Wrist_End,Tuto_joint:Root_L_Femur,,,Tuto_joint:Root_LowerBack,,,Tuto_joint:Root_R_Femur,,,Tuto_joint:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
140,0,,,,,,,,,,,,,117.656,874.962,1524.91,131.828,892.803,1238.69,154.688,691.886,1470.81,153.473,650.772,1318.03,31.8426,898.729,1424.19,375.371,853.316,1542.35,489.255,839.99,1478.06,604.409,851.89,1431.28,741.205,831.886,1397.53,855.765,761.879,1339.97,842.222,832.568,1306.23,920.044,821.191,1334.35,-128.272,789.094,1518.11,-203.489,780.397,1451.44,-324.982,758.211,1395.93,-434.231,715.148,1370.24,-530.279,609.839,1283.49,-539.517,690.889,1277.58,-601.958,625.377,1299.05,271.839,668.087,1022.1,21.4351,661.015,1018.82,289.039,870.865,1056.77,26.3574,874.619,1065.37,376.576,729.388,678.943,373.887,755.72,552.898,415.814,748.406,246.608,444.965,727.33,75.7466,334.39,763.013,86.0063,425.775,536.542,78.289,-81.0735,747.897,837.193,-59.8265,808.34,568.32,-90.9067,864.434,417.92,-108.678,920.802,93.4323,-1.65639,958.223,79.4062,-71.3779,754.732,80.6895
141,0,,,,,,,,,,,,,117.667,875.162,1524.8,131.902,892.846,1238.6,154.625,692.089,1470.69,153.559,650.844,1318.11,31.8315,898.917,1424.15,375.516,853.773,1542.52,489.351,840.462,1478.27,604.384,852.263,1431.53,741.314,832.536,1398,856.076,762.586,1340.93,842.55,833.073,1306.94,920.198,821.881,1335.19,-128.202,789.537,1518.3,-203.609,780.752,1451.87,-325.311,758.633,1396.5,-434.357,715.51,1370.94,-530.502,610.395,1284.38,-539.619,691.019,1278.38,-602.076,625.867,1300.21,272.044,668.165,1021.96,21.6475,661.14,1018.69,289.331,870.912,1056.94,26.6659,874.71,1065.5,376.623,729.987,678.8,373.6,756.483,552.687,415.878,748.663,246.677,444.995,727.334,75.7952,334.224,762.922,86.1991,425.789,536.544,78.3049,-80.8092,748.226,837.149,-59.4984,809.1,568.206,-90.8425,864.928,418.001,-108.664,920.803,93.3691,-1.5957,958.258,79.3866,-71.3673,754.784,80.6923
142,0,,,,,,,,,,,,,117.436,875.638,1524.66,131.981,892.879,1238.56,154.852,692.346,1470.7,153.614,650.883,1318.09,31.7789,899.076,1424.12,375.63,854.163,1542.56,489.584,840.959,1478.5,604.268,852.643,1431.7,741.338,833.173,1398.45,856.457,763.286,1341.84,842.755,833.564,1307.53,920.405,822.651,1336.03,-128.082,790.001,1518.44,-203.623,781.184,1452.21,-325.41,759.069,1397.02,-434.512,715.915,1371.63,-531.12,610.467,1285.99,-539.732,691.247,1279.15,-602.656,626.293,1301.64,272.208,668.253,1021.8,22.0003,661.358,1018.51,289.654,870.991,1057.15,26.8727,874.795,1065.71,376.56,730.607,678.614,373.407,757.252,552.525,415.907,749.041,246.709,445.015,727.34,75.8129,334.466,763.085,86.0029,425.785,536.584,78.3214,-80.588,748.544,837.102,-59.3735,809.827,568.147,-90.8388,865.372,418.136,-108.67,920.835,93.3976,-1.59059,958.273,79.3837,-71.3419,754.808,80.7499
143,0,,,,,,,,,,,,,118.042,875.763,1524.55,132.084,892.909,1238.45,157.17,691.563,1470.91,153.697,650.947,1318.11,31.8122,899.258,1424.08,375.701,854.575,1542.6,489.436,841.376,1478.49,604.565,853.341,1432,741.533,833.847,1398.97,856.808,764.014,1342.69,843.006,833.982,1308.09,920.638,823.245,1336.71,-128.023,790.422,1518.57,-203.582,781.658,1452.49,-325.389,759.424,1397.52,-434.742,716.353,1372.43,-531.549,610.643,1287.19,-540.27,691.615,1280.08,-603.12,626.649,1302.85,272.422,668.333,1021.65,22.1429,661.411,1018.4,289.962,871.018,1057.34,27.2246,874.858,1065.9,376.355,731.207,678.342,373.532,758.154,552.52,415.988,749.509,246.772,444.988,727.366,75.7884,334.497,763.098,85.9027,425.783,536.589,78.3626,-79.9621,748.819,837.247,-59.1157,810.492,568.1,-90.7952,865.9,418.162,-108.63,920.872,93.2664,-1.62402,958.284,79.2683,-71.3652,754.841,80.8262
144,0,,,,,,,,,,,,,118.102,876.046,1524.47,132.153,892.947,1238.4,160.887,691.198,1472.45,153.751,651.085,1318.1,37.7384,898.249,1421.43,375.695,854.918,1542.62,489.939,841.935,1478.78,604.314,853.736,1432.01,741.627,834.357,1399.31,857.02,764.463,1343.32,843.144,834.11,1308.3,920.982,823.754,1337.37,-127.849,790.886,1518.84,-203.654,782.093,1452.73,-325.426,759.826,1397.96,-434.475,716.668,1372.82,-531.646,611.258,1287.95,-540.572,691.948,1280.97,-603.273,627.16,1303.73,272.635,668.422,1021.51,22.4838,661.577,1018.15,290.209,871.054,1057.54,27.4529,874.867,1066.03,376.072,732.096,678.023,373.161,759.345,552.281,416.005,750.04,246.721,444.964,727.367,75.745,334.371,763.071,85.9964,425.783,536.635,78.3972,-79.6268,749.127,837.061,-58.75,811.266,568.155,-90.5402,866.526,418.165,-108.611,920.897,93.2721,-1.47266,958.337,79.3015,-71.3702,754.908,80.8969
145,0,,,,,,,,,,,,,118.294,876.305,1524.38,132.189,893.014,1238.3,154.116,693.367,1469.96,153.83,651.219,1318.05,31.8871,899.547,1423.96,375.726,855.298,1542.56,489.949,842.35,1478.82,604.454,854.252,1432.16,741.688,834.806,1399.51,857.327,765.051,1344.09,843.609,834.861,1308.92,921.33,824.437,1338.04,-127.803,791.321,1519.17,-203.671,782.499,1452.97,-325.481,760.179,1398.3,-434.631,717.041,1373.48,-531.976,611.24,1289.07,-540.883,692.311,1281.81,-603.672,627.764,1304.83,272.836,668.479,1021.3,22.7506,661.593,1017.9,290.451,871.039,1057.7,27.6472,874.81,1066.09,376.269,733.271,677.975,373.225,760.702,552.407,415.92,750.534,246.511,444.995,727.356,75.754,334.349,763.131,85.9603,425.759,536.613,78.4041,-79.2667,749.39,836.881,-58.1427,812.166,568.058,-89.9563,867.29,417.969,-108.636,920.925,93.2898,-1.51205,958.366,79.2273,-71.3085,754.922,80.9064
146,0,,,,,,,,,,,,,118.519,876.523,1524.32,132.247,893.075,1238.25,161.04,691.684,1472.23,153.922,651.423,1318,32.0117,899.683,1423.97,375.745,855.614,1542.51,489.928,842.717,1478.78,604.536,854.718,1432.17,741.699,835.198,1399.61,857.72,765.523,1344.66,843.843,835.225,1309.17,921.617,825.054,1338.45,-127.705,791.657,1519.39,-203.586,782.831,1453.19,-324.086,760.32,1397.74,-434.626,717.529,1373.92,-532.194,611.553,1289.95,-541.071,692.612,1282.54,-603.965,628.065,1305.59,273.023,668.579,1021.07,23.0054,661.659,1017.68,290.682,871.092,1057.87,27.784,874.713,1066.16,376.495,734.391,678.054,373.004,761.879,552.253,415.73,751.193,246.434,444.982,727.372,75.7602,334.452,763.155,85.8094,425.803,536.695,78.4784,-79.091,749.835,836.851,-57.6759,812.943,567.872,-89.6073,867.993,417.891,-108.657,920.949,93.2611,-1.56829,958.392,79.1053,-71.3067,754.882,80.9631
147,0,,,,,,,,,,,,,118.612,876.661,1524.25,132.332,893.155,1238.15,154.376,693.783,1469.77,153.985,651.519,1317.89,32.1355,899.787,1423.91,375.751,855.898,1542.41,489.97,843.026,1478.67,604.63,855.055,1432.11,741.866,835.619,1399.67,858.173,766.102,1345.22,844.169,835.621,1309.35,921.792,825.655,1338.82,-127.573,791.853,1519.42,-203.558,783.076,1453.4,-324.121,760.621,1398.02,-434.808,718,1374.44,-532.488,611.954,1290.81,-541.247,692.95,1283.09,-604.239,628.533,1306.31,273.25,668.751,1020.75,23.4652,661.823,1017.36,290.854,871.135,1058.02,27.9561,874.548,1066.21,376.232,735.258,677.741,372.083,763.255,551.628,415.392,751.814,246.245,444.96,727.402,75.7087,334.36,763.143,85.8776,425.803,536.71,78.5144,-78.9706,750.333,836.794,-57.5874,813.675,567.878,-89.4389,868.59,417.943,-108.629,920.974,93.139,-1.49034,958.444,79.0966,-71.2975,754.869,81.0097
148,0,,,,,,,,,,,,,118.876,876.839,1524.22,132.392,893.228,1238.03,161.264,691.971,1471.96,153.99,651.544,1317.71,32.3491,899.88,1423.82,375.767,856.143,1542.28,489.992,843.266,1478.51,604.8,855.449,1431.95,741.974,836.108,1399.5,858.506,766.636,1345.52,844.486,835.948,1309.3,921.927,826.147,1338.93,-127.439,791.951,1519.52,-203.403,783.241,1453.56,-324.05,760.889,1398.26,-434.799,718.369,1374.8,-532.641,612.595,1291.3,-541.329,693.275,1283.57,-604.585,629.251,1307.04,273.585,668.886,1020.5,23.5757,661.71,1017.05,291.001,871.146,1058.18,28.2305,874.323,1066.21,375.481,736.647,677.174,372.022,764.897,551.526,415.392,752.349,246.286,444.931,727.409,75.7174,334.406,763.244,85.8125,425.791,536.75,78.5549,-78.7423,750.745,836.674,-57.3946,814.475,568.031,-89.4671,869.145,418.173,-108.578,921,93.0969,-1.49306,958.494,79.0322,-71.2746,754.848,81.0204
149,0,,,,,,,,,,,,,119.137,876.935,1524.16,132.533,893.314,1237.89,154.856,694.012,1469.49,154.138,651.564,1317.56,32.5715,899.94,1423.67,375.866,856.369,1542.1,490.049,843.523,1478.18,605.072,855.89,1431.64,742.115,836.596,1399.15,858.753,767.066,1345.55,844.728,836.267,1308.9,922.01,826.649,1338.8,-127.123,792.04,1519.53,-203.317,783.33,1453.71,-322.719,760.928,1397.85,-434.593,718.74,1375.05,-533.166,612.64,1292.12,-541.271,693.644,1283.89,-604.788,629.638,1307.43,273.926,669.071,1020.12,23.8391,661.793,1016.79,291.142,871.201,1058.32,28.3562,874.257,1066.29,375.373,737.899,677.028,372.086,766.417,551.508,415.317,752.802,246.391,444.958,727.398,75.7314,334.265,763.192,85.9005,425.788,536.792,78.6098,-78.4935,751.032,836.551,-57.1819,815.286,568.081,-89.438,869.704,418.304,-108.63,921.023,93.0556,-1.52195,958.518,78.9476,-71.3807,754.912,80.9648
150,0,,,,,,,,,,,,,119.492,877.104,1524.22,132.644,893.399,1237.76,161.583,692.2,1471.55,154.501,651.573,1317.3,32.7592,900.042,1423.51,376.034,856.483,1541.93,490.086,843.791,1477.74,605.053,856.185,1430.99,742.195,836.995,1398.6,858.835,767.431,1345.28,844.934,836.487,1308.19,922.035,827.249,1338.48,-126.861,792.051,1519.49,-203.182,783.353,1453.76,-323.855,761.208,1398.66,-434.624,719.006,1375.29,-533.363,613.039,1292.5,-541.209,694.04,1284.13,-605.036,630.213,1307.89,274.257,669.273,1019.75,24.146,661.866,1016.43,291.215,871.327,1058.43,28.8167,873.318,1065.91,375.778,739.237,677.026,371.075,768.172,550.813,415.121,753.4,246.376,444.932,727.419,75.7177,334.338,763.267,85.775,425.797,536.819,78.669,-78.462,751.109,836.11,-56.9351,816.171,568.112,-89.2855,870.309,418.24,-108.613,921.042,92.9517,-1.52136,958.585,78.8496,-71.3992,754.874,81.0149
151,0,,,,,,,,,,,,,119.788,877.207,1524.12,132.769,893.462,1237.56,155.482,694.243,1469.19,154.832,651.513,1317.03,33.0515,900.063,1423.27,376.252,856.515,1541.7,490.236,844.055,1477.15,605.078,856.519,1430.19,742.148,837.41,1397.72,858.837,767.707,1344.68,844.649,836.168,1306.92,921.748,827.662,1337.61,-126.695,792.019,1519.41,-203.03,783.313,1453.79,-323.723,761.263,1398.69,-434.691,719.296,1375.48,-533.517,613.393,1292.79,-541.111,694.359,1284.26,-605.174,630.782,1308.19,274.633,669.553,1019.44,24.2433,661.769,1016.12,291.354,871.469,1058.53,28.884,873.355,1066.12,375.095,740.856,676.513,370.694,769.584,550.565,414.88,754.106,246.23,444.944,727.438,75.7267,334.392,763.318,85.6879,425.789,536.885,78.7333,-78.2261,751.619,836.342,-56.826,816.837,568.056,-89.2273,871.002,418.338,-108.662,921.07,92.9297,-1.50813,958.621,78.8096,-71.385,754.903,81.1214
152,0,,,,,,,,,,,,,120.086,877.247,1523.92,132.969,893.5,1237.36,162.109,692.361,1471.26,155.176,651.522,1316.82,33.2405,900.082,1422.98,376.598,856.519,1541.4,490.408,844.299,1476.46,604.86,856.806,1429.05,741.957,837.797,1396.55,858.734,768.026,1343.72,844.999,836.666,1306.05,921.909,828.208,1336.66,-126.485,791.966,1519.22,-202.868,783.235,1453.71,-323.577,761.31,1398.73,-434.393,719.528,1375.37,-533.657,613.64,1292.95,-540.982,694.657,1284.3,-605.219,631.313,1308.28,274.984,669.865,1019.15,24.6088,661.836,1015.81,291.348,871.674,1058.6,28.9456,873.452,1066.23,374.665,742.047,676.018,370.348,771.566,550.454,414.567,754.999,245.907,444.976,727.443,75.741,334.436,763.381,85.5963,425.818,536.941,78.7936,-78.0397,751.836,836.215,-56.6998,817.382,567.985,-89.273,871.654,418.492,-108.654,921.096,92.8821,-1.56178,958.661,78.6956,-71.3201,755.005,81.1427
153,0,,,,,,,,,,,,,120.038,877.239,1523.62,133.271,893.519,1237.1,162.065,692.345,1470.9,155.681,651.601,1316.63,33.3998,900.083,1422.62,376.916,856.432,1541.04,490.646,844.453,1475.73,605.052,857.23,1427.95,742.213,838.144,1395.3,858.705,768.308,1342.5,844.91,836.774,1304.58,921.728,828.499,1335.5,-126.336,791.897,1518.97,-202.731,783.111,1453.55,-322.193,760.984,1398.07,-434.399,719.656,1375.37,-533.766,613.909,1293,-541.004,694.952,1284.26,-605.25,631.853,1308.2,275.296,670.2,1018.81,24.909,661.93,1015.57,291.416,871.929,1058.63,29.1403,872.991,1066.26,374.646,743.508,675.786,370.156,773.168,550.369,414.39,755.904,245.818,444.949,727.47,75.713,334.311,763.359,85.6939,425.801,536.982,78.8658,-77.8344,752.025,836.088,-56.6026,817.937,567.998,-89.2394,872.172,418.582,-108.621,921.111,92.7741,-1.50521,958.717,78.671,-71.3664,754.999,81.2553
154,0,,,,,,,,,,,,,119.847,877.048,1523.2,133.705,893.562,1236.76,162.156,692.305,1470.71,155.976,651.562,1316.43,33.6913,900.036,1422.29,377.28,856.273,1540.58,490.773,844.591,1474.99,605.08,857.56,1426.81,742.23,838.353,1393.9,858.66,768.726,1341.15,844.656,836.879,1302.69,921.562,828.881,1333.97,-126.27,791.842,1518.72,-202.628,782.992,1453.35,-323.19,761.272,1398.46,-434.214,719.754,1375.15,-533.887,614.132,1292.98,-540.925,695.146,1284.04,-605.24,632.379,1307.98,275.68,670.563,1018.49,25.2186,661.99,1015.34,291.362,872.233,1058.6,22.4013,875.384,1070.46,374.473,745.161,675.493,369.419,774.723,549.928,414.582,756.65,246.199,444.931,727.483,75.7189,334.188,763.353,85.6816,425.829,537.039,78.9368,-77.6382,751.91,835.667,-56.3867,818.481,567.963,-89.3517,872.562,418.802,-108.664,921.128,92.732,-1.50545,958.759,78.652,-71.3872,754.952,81.2343
155,0,,,,,,,,,,,,,119.959,877.083,1522.88,134.101,893.596,1236.46,162.255,692.252,1470.51,156.313,651.409,1316.14,34.0688,899.979,1421.9,377.679,856.178,1540.1,490.921,844.747,1474.11,605.326,857.917,1425.56,742.04,838.569,1392.16,858.345,768.874,1339.18,844.12,836.561,1300.48,920.982,829.24,1332.17,-125.86,791.79,1518.25,-202.343,782.816,1452.93,-323.013,761.257,1398.14,-433.788,719.886,1374.64,-533.92,614.265,1292.86,-540.865,695.373,1283.77,-605.279,632.824,1307.74,276.117,671.016,1018.15,25.664,662.162,1015.18,291.348,872.616,1058.5,29.2826,872.821,1066.34,374.195,746.483,675.125,369.076,776.417,549.637,414.862,757.286,246.529,444.946,727.527,75.7105,334.374,763.432,85.5182,425.831,537.085,79.0085,-77.3657,752.229,835.891,-56.1434,819.012,567.84,-89.3553,872.837,418.859,-108.676,921.153,92.6425,-1.47388,958.803,78.62,-71.3424,755.046,81.3361
156,0,,,,,,,,,,,,,120.052,877.062,1522.54,134.455,893.642,1236.19,162.125,692.245,1470.11,156.78,651.421,1315.99,34.4568,899.927,1421.55,377.984,856.049,1539.52,491.153,844.81,1473.09,604.807,857.929,1424.1,742.17,838.782,1390.48,858.045,769.255,1337.07,843.908,837.303,1298.59,920.703,829.5,1330.12,-125.756,791.67,1517.84,-201.948,782.732,1452.51,-324.195,761.48,1398.73,-433.318,719.93,1374.06,-533.886,614.388,1292.63,-540.671,695.579,1283.25,-605.267,633.412,1307.34,276.551,671.495,1017.79,26.0855,662.197,1014.97,291.37,873.042,1058.4,29.3073,872.802,1066.38,373.847,747.802,674.657,369.187,778.038,549.675,414.721,757.918,246.306,444.951,727.514,75.7227,334.265,763.45,85.5658,425.83,537.072,79.0426,-77.2387,752.145,835.532,-55.9232,819.437,567.729,-89.2015,873.128,418.794,-108.638,921.173,92.5781,-1.52433,958.818,78.5879,-71.3145,755.042,81.3625
157,0,,,,,,,,,,,,,119.814,876.844,1522.04,134.798,893.664,1235.98,160.23,692.564,1468.9,157.229,651.362,1315.85,34.957,899.909,1421.21,378.317,855.948,1539.15,491.32,844.791,1472.19,605.116,858.272,1423,741.915,838.967,1388.67,857.693,769.646,1334.69,843.469,837.646,1296.24,920.273,829.633,1327.7,-125.638,791.59,1517.48,-201.547,782.678,1452.03,-324.053,761.472,1398.26,-433.042,720.043,1373.55,-533.708,614.511,1292.23,-540.304,695.766,1282.53,-605.078,633.522,1306.63,276.953,671.999,1017.34,26.4847,662.276,1014.83,291.505,873.577,1058.3,29.2852,872.851,1066.46,373.61,749.144,674.231,368.359,779.628,548.973,414.184,758.587,245.878,444.968,727.535,75.7482,334.243,763.481,85.498,425.839,537.102,79.0976,-76.9302,752.388,835.8,-55.7737,819.782,567.623,-89.1838,873.312,418.766,-108.668,921.189,92.53,-1.44418,958.875,78.6329,-71.3006,755.067,81.3965
158,0,,,,,,,,,,,,,119.948,876.781,1521.68,135.134,893.697,1235.79,160.328,692.451,1468.69,157.835,651.33,1315.72,35.3369,899.888,1420.86,378.719,855.831,1538.81,491.351,844.792,1471.42,604.949,858.143,1421.68,741.739,839.15,1386.6,857.121,769.896,1331.78,842.69,838.112,1293.75,919.42,829.898,1325.17,-125.54,791.551,1517.14,-201.262,782.62,1451.58,-322.296,761.23,1396.91,-432.972,720.104,1373.08,-533.428,614.638,1291.67,-539.801,695.9,1281.61,-604.893,633.74,1305.88,277.4,672.517,1016.95,26.9541,662.236,1014.66,291.559,874.093,1058.19,29.2722,872.972,1066.56,374.031,750.583,674.239,367.885,780.845,548.56,413.653,759.209,245.43,444.966,727.547,75.7066,334.251,763.543,85.4646,425.823,537.148,79.1427,-76.7505,752.458,835.729,-55.6428,820.057,567.634,-89.1873,873.459,418.767,-108.68,921.228,92.49,-1.46644,958.902,78.6064,-71.3312,755.08,81.454
159,0,,,,,,,,,,,,,120.204,876.737,1521.71,135.414,893.761,1235.65,160.483,692.352,1468.53,158.301,651.162,1315.54,35.5855,899.78,1420.45,379.068,855.684,1538.52,491.402,844.682,1470.72,604.616,858.108,1420.52,741.43,839.379,1384.76,856.549,770.197,1328.88,841.825,838.582,1291.16,918.831,830.424,1322.57,-125.397,791.507,1516.8,-200.887,782.581,1451.05,-321.782,761.178,1396.09,-433.055,720.285,1372.65,-533.097,614.689,1290.94,-539.055,695.85,1280.48,-604.492,634.025,1304.97,277.635,673.222,1016.85,27.4001,662.286,1014.62,291.674,874.731,1058.07,29.228,873.211,1066.69,374,751.68,673.821,368.086,782.141,548.645,413.308,759.863,245.055,444.932,727.599,75.6661,334.262,763.558,85.4137,425.826,537.176,79.1932,-76.6223,752.272,835.434,-55.5617,820.217,567.616,-89.1181,873.601,418.707,-108.701,921.226,92.4371,-1.49557,958.937,78.5555,-71.281,755.083,81.4181
160,0,,,,,,,,,,,,,120.464,876.725,1521.62,135.835,893.763,1235.51,160.831,692.249,1468.52,158.876,651.207,1315.42,35.7742,899.667,1420.09,379.363,855.549,1538.25,491.554,844.559,1470.02,605.122,858.341,1419.69,741.395,839.719,1382.8,855.618,770.549,1325.45,841.035,839.257,1288.56,918.004,830.87,1319.62,-125.272,791.479,1516.45,-200.519,782.536,1450.4,-321.69,761.144,1395.48,-432.695,720.484,1371.72,-532.751,614.666,1289.97,-538.788,695.778,1279.65,-604.081,634.201,1304.04,278.141,673.767,1016.39,27.8759,662.395,1014.57,291.674,875.381,1057.97,29.1681,873.383,1066.72,373.457,752.728,673.282,368.018,783.402,548.533,413.323,760.392,245.094,444.945,727.596,75.6988,334.389,763.639,85.2932,425.83,537.219,79.2184,-76.4565,752.557,835.716,-55.4987,820.287,567.591,-89.0979,873.686,418.641,-108.682,921.235,92.3337,-1.47227,958.96,78.5736,-71.2975,755.102,81.5133
161,0,,,,,,,,,,,,,120.467,876.59,1521.44,136.183,893.777,1235.38,161.005,692.184,1468.45,159.578,651.32,1315.3,35.8161,899.53,1419.67,379.617,855.401,1538.02,491.676,844.396,1469.35,605.036,858.183,1418.67,740.519,839.631,1380.56,854.929,771.116,1322.34,839.97,840.037,1285.81,917.23,831.237,1316.67,-125.188,791.421,1516.12,-200.273,782.486,1449.77,-320.189,760.868,1393.98,-432.333,720.495,1370.82,-532.431,614.613,1289,-538.559,695.758,1278.73,-603.879,634.288,1303.12,278.418,674.562,1016.17,28.2557,662.466,1014.63,291.52,876.054,1057.82,29.1465,873.235,1066.59,373.39,753.858,672.967,366.473,783.96,547.176,413.513,760.789,245.16,444.952,727.618,75.6862,334.223,763.605,85.3888,425.839,537.213,79.2547,-76.2904,752.499,835.718,-55.4754,820.325,567.618,-89.0708,873.709,418.619,-108.752,921.221,92.3693,-1.48153,958.993,78.5509,-71.2802,755.1,81.4863
162,0,,,,,,,,,,,,,120.483,876.435,1521.42,136.428,893.829,1235.35,158.29,693.35,1467.77,161.267,652.127,1315.28,36.0929,899.349,1419.44,379.88,855.269,1537.87,491.796,844.215,1468.78,604.803,858.084,1417.66,740.223,840.104,1378.59,853.924,771.684,1318.99,838.912,840.995,1283.25,916.344,831.784,1313.55,-125.157,791.353,1515.92,-199.979,782.469,1449.31,-322.848,761.259,1395.11,-432.085,720.45,1369.98,-532.076,614.528,1288.15,-537.875,695.849,1277.45,-603.311,634.303,1301.76,278.624,675.397,1015.95,28.7503,662.605,1014.53,291.415,876.791,1057.68,29.0898,873.442,1066.59,373.804,754.84,672.98,367.682,785.169,548.134,413.682,761.158,245.21,445.008,727.609,75.7291,334.189,763.602,85.3722,425.832,537.24,79.2969,-76.158,752.49,835.749,-55.3925,820.306,567.623,-88.9996,873.715,418.566,-108.692,921.243,92.3242,-1.4892,959.006,78.5585,-71.2892,755.122,81.5292
163,0,,,,,,,,,,,,,120.697,876.272,1521.39,136.682,893.886,1235.35,158.448,693.261,1467.8,161.638,652.205,1315.18,36.455,899.161,1419.3,380.163,855.113,1537.79,492,844.03,1468.29,604.398,858.1,1416.58,739.661,840.236,1376.51,852.981,772.11,1315.76,837.931,841.814,1280.79,915.566,832.283,1310.38,-125.015,791.198,1515.65,-199.89,782.389,1448.89,-320.192,760.666,1393.07,-431.722,720.326,1369.04,-531.565,614.538,1287.08,-537.023,695.713,1276.21,-602.557,634.344,1300.25,278.921,676.082,1015.8,29.2997,662.833,1014.5,291.329,877.496,1057.53,29.03,873.626,1066.56,374.119,755.534,672.923,367.59,785.757,547.991,413.764,761.4,245.172,444.982,727.609,75.6802,334.206,763.595,85.4107,425.829,537.256,79.3274,-75.9803,752.389,835.76,-55.3132,820.249,567.62,-88.9787,873.628,418.561,-108.726,921.235,92.3107,-1.51063,959.011,78.5539,-71.2604,755.094,81.5028
164,0,,,,,,,,,,,,,120.659,876.171,1521.38,136.964,893.904,1235.44,158.642,693.233,1467.87,162.007,652.237,1315.08,36.6309,899.036,1419.21,380.411,854.972,1537.64,492.229,843.89,1467.91,604.321,858.174,1415.62,739.348,840.764,1374.76,852.535,772.814,1313.14,836.8,842.594,1278.39,914.752,832.885,1307.37,-124.731,791.066,1515.34,-199.744,782.284,1448.58,-319.871,760.462,1392.5,-431.316,720.173,1368.19,-530.816,614.397,1285.67,-536.493,695.625,1275.14,-602.046,634.164,1298.9,279.469,676.698,1015.82,29.7771,663.114,1014.46,291.326,878.27,1057.38,28.9763,873.84,1066.58,374.478,756.115,672.952,367.692,786.214,547.899,413.915,761.591,245.22,444.995,727.619,75.701,334.166,763.631,85.3706,425.834,537.23,79.3337,-75.8692,752.341,835.811,-55.2198,820.176,567.627,-88.8949,873.564,418.532,-108.728,921.248,92.2897,-1.46416,959.035,78.5693,-71.2415,755.103,81.4946
165,0,,,,,,,,,,,,,120.533,876.035,1521.47,137.175,893.936,1235.49,158.801,693.28,1467.95,161.536,651.816,1315.02,36.9014,898.971,1419.13,380.641,854.937,1537.53,492.424,843.913,1467.62,604.697,858.57,1415.13,739.085,841.235,1373.1,851,773.143,1309.68,835.553,842.947,1276.04,913.911,833.636,1304.39,-124.558,790.848,1515.23,-199.533,782.141,1448.3,-321.354,760.458,1393.07,-430.964,719.99,1367.4,-530.149,614.217,1284.34,-535.923,695.538,1274.07,-601.88,633.991,1297.85,280.068,677.35,1015.93,30.1971,663.369,1014.44,291.183,878.986,1057.33,28.8677,874.7,1067.03,374.536,756.643,672.851,367.839,786.493,547.848,414.043,761.735,245.256,444.985,727.62,75.7013,334.241,763.625,85.3485,425.841,537.233,79.3227,-75.7027,752.342,835.807,-55.2059,820.04,567.711,-88.8698,873.455,418.543,-108.766,921.235,92.3295,-1.48293,959.031,78.6147,-71.2463,755.125,81.506
166,0,,,,,,,,,,,,,120.69,875.997,1521.53,137.38,894.028,1235.57,158.705,693.246,1467.96,161.76,651.931,1315.01,37.2371,898.902,1419.07,380.819,854.951,1537.42,492.36,844.053,1467.21,603.837,858.556,1413.65,738.357,841.827,1371.3,850.729,773.943,1307.69,834.744,843.925,1274.12,913.337,834.099,1301.77,-124.397,790.607,1515.09,-199.44,781.95,1448.12,-321.906,759.79,1393.4,-430.564,719.74,1366.69,-529.713,614.118,1283.27,-535.141,695.385,1272.89,-601.083,633.733,1296.12,280.449,678.091,1016.12,30.5743,663.597,1014.53,291.203,879.827,1057.32,28.9258,874.956,1067.02,374.556,757.064,672.775,368.021,786.622,547.835,414.077,761.753,245.221,444.953,727.637,75.6929,334.252,763.661,85.3521,425.847,537.232,79.349,-75.5829,752.318,835.889,-55.1928,819.821,567.756,-88.8038,873.343,418.569,-108.711,921.251,92.2894,-1.5185,959.031,78.5563,-71.2673,755.092,81.4921
